graph_id;vertices;edges;density;variant;algorithm;total_operations_count;total_execution_time_ms;path_length
1;6;10;sparse;one_cycle;DAG-ShortestPath;13;0,004;6,30
1;6;10;sparse;one_cycle;DAG-LongestPath;15;0,051;17,10
2;8;15;sparse;one_cycle;DAG-ShortestPath;11;0,003;5,80
2;8;15;sparse;one_cycle;DAG-LongestPath;11;0,001;5,80
3;10;30;sparse;one_cycle;DAG-ShortestPath;11;0,001;0,00
3;10;30;sparse;one_cycle;DAG-LongestPath;11;0,001;0,00
4;12;26;sparse;mixed;DAG-ShortestPath;22;0,002;1,00
4;12;26;sparse;mixed;DAG-LongestPath;22;0,003;12,30
5;16;44;sparse;one_cycle;DAG-ShortestPath;19;0,001;5,60
5;16;44;sparse;one_cycle;DAG-LongestPath;19;0,001;5,60
6;20;72;sparse;one_cycle;DAG-ShortestPath;23;0,001;5,40
6;20;72;sparse;one_cycle;DAG-LongestPath;23;0,001;5,40
7;25;83;sparse;one_cycle;DAG-ShortestPath;31;0,001;3,50
7;25;83;sparse;one_cycle;DAG-LongestPath;32;0,001;9,40
8;35;196;sparse;one_cycle;DAG-ShortestPath;36;0,001;0,00
8;35;196;sparse;one_cycle;DAG-LongestPath;36;0,001;0,00
9;50;396;sparse;one_cycle;DAG-ShortestPath;53;0,001;2,40
9;50;396;sparse;one_cycle;DAG-LongestPath;53;0,001;2,40
1;6;16;dense;one_cycle;DAG-ShortestPath;7;0,001;0,00
1;6;16;dense;one_cycle;DAG-LongestPath;7;0,000;0,00
2;8;29;dense;one_cycle;DAG-ShortestPath;9;0,001;0,00
2;8;29;dense;one_cycle;DAG-LongestPath;9;0,001;0,00
3;10;57;dense;one_cycle;DAG-ShortestPath;11;0,001;0,00
3;10;57;dense;one_cycle;DAG-LongestPath;11;0,001;0,00
4;12;76;dense;one_cycle;DAG-ShortestPath;13;0,000;0,00
4;12;76;dense;one_cycle;DAG-LongestPath;13;0,000;0,00
5;16;133;dense;one_cycle;DAG-ShortestPath;17;0,000;0,00
5;16;133;dense;one_cycle;DAG-LongestPath;17;0,000;0,00
6;20;225;dense;one_cycle;DAG-ShortestPath;21;0,001;0,00
6;20;225;dense;one_cycle;DAG-LongestPath;21;0,000;0,00
7;25;332;dense;one_cycle;DAG-ShortestPath;26;0,001;0,00
7;25;332;dense;one_cycle;DAG-LongestPath;26;0,000;0,00
8;35;602;dense;one_cycle;DAG-ShortestPath;36;0,000;0,00
8;35;602;dense;one_cycle;DAG-LongestPath;36;0,000;0,00
9;50;1225;dense;one_cycle;DAG-ShortestPath;51;0,001;0,00
9;50;1225;dense;one_cycle;DAG-LongestPath;51;0,001;0,00
