graph_id,vertices,edges,density,variant,scc_count,dfs_visits,time_ms
1,6,10,sparse,one_cycle,4,6,0.815
2,8,15,sparse,one_cycle,2,8,0.010
3,10,30,sparse,one_cycle,1,10,0.012
4,12,26,sparse,mixed,5,12,0.012
5,16,44,sparse,one_cycle,2,16,0.015
6,20,72,sparse,one_cycle,2,20,0.022
7,25,83,sparse,one_cycle,4,25,0.023
8,35,196,sparse,one_cycle,1,35,0.065
9,50,396,sparse,one_cycle,2,50,0.052
1,6,16,dense,one_cycle,1,6,0.012
2,8,29,dense,one_cycle,1,8,0.015
3,10,57,dense,one_cycle,1,10,0.013
4,12,76,dense,one_cycle,1,12,0.015
5,16,133,dense,one_cycle,1,16,0.019
6,20,225,dense,one_cycle,1,20,0.063
7,25,332,dense,one_cycle,1,25,0.035
8,35,602,dense,one_cycle,1,35,0.050
9,50,1225,dense,one_cycle,1,50,0.050
